timestamp,type,ip_or_domain,details
2025-11-02T16:44:32.380758+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:aa:bb:cc:dd:ee:ff;00:11:22:33:44:55;11:22:33:44:55:66;66:77:88:99:aa:bb
2025-11-02T16:44:33.381425+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:aa:bb:cc:dd:ee:ff;00:11:22:33:44:55;11:22:33:44:55:66;66:77:88:99:aa:bb
2025-11-02T16:44:34.382092+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:aa:bb:cc:dd:ee:ff;00:11:22:33:44:55;11:22:33:44:55:66;66:77:88:99:aa:bb
2025-11-02T16:44:35.383395+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:aa:bb:cc:dd:ee:ff;00:11:22:33:44:55;11:22:33:44:55:66;66:77:88:99:aa:bb
2025-11-02T16:44:36.385245+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:aa:bb:cc:dd:ee:ff;00:11:22:33:44:55;11:22:33:44:55:66;66:77:88:99:aa:bb
2025-11-02T16:44:37.703768+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:aa:bb:cc:dd:ee:ff;00:11:22:33:44:55;11:22:33:44:55:66;66:77:88:99:aa:bb
2025-11-02T16:44:38.704598+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:aa:bb:cc:dd:ee:ff;00:11:22:33:44:55;11:22:33:44:55:66;66:77:88:99:aa:bb
2025-11-02T16:44:39.710144+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:aa:bb:cc:dd:ee:ff;00:11:22:33:44:55;11:22:33:44:55:66;66:77:88:99:aa:bb
2025-11-02T16:44:40.717504+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:aa:bb:cc:dd:ee:ff;00:11:22:33:44:55;11:22:33:44:55:66;66:77:88:99:aa:bb
2025-11-02T16:44:41.717558+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:aa:bb:cc:dd:ee:ff;00:11:22:33:44:55;11:22:33:44:55:66;66:77:88:99:aa:bb
